fossils,total missed,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08
Iguanodon,363,1,0,0,0,0,0,0,0,5,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,3,2,9,2,0,3,0,0,4,0,0,5,0,3,0,0,2,1,0,0,0,0,0,0,0,0,3,1,2,7,5,3,1,4,0,1,1,4,7,3,1,2,0,0,0,1,0,2,0,1,0,1,1,5,7,0,0,1,0,0,0,0,2,0,5,0,0,0,0,1,0,7
Brachiosaurus,354,0,1,0,1,0,0,0,0,3,5,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,4,4,5,13,2,0,2,1,0,0,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,3,0,0,0,3,1,0,2,0,4,2,3,8,1,4,0,0,0,2,0,0,0,1,0,2,2,0,1,0,2,0,0,0,2,1,1,2,2,0,2,0,0,2
Basilosaurus,341,0,0,0,0,0,1,0,0,4,2,0,2,0,0,2,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,2,14,2,6,7,12,1,3,3,1,0,1,4,1,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4,2,2,5,4,6,1,2,0,1,1,0,9,0,0,5,2,2,1,1,1,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,5,1,0
Plateosaurus,339,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,4,2,5,0,8,4,9,3,0,2,2,0,0,5,4,1,1,0,0,0,2,2,0,0,0,0,1,0,0,0,6,2,8,2,0,0,2,0,0,4,0,0,5,3,0,0,0,2,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0
Spinosaurus,336,0,0,2,1,0,0,0,0,3,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,0,2,1,13,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,4,3,5,9,1,2,3,2,0,1,0,0,1,3,3,0,0,0,0,1,0,1,0,1,0,1,0,2,2,0,1,0,1,1,0,1,2,1,1,0,0,1,0,0,7,0
Chert,334,1,0,0,1,0,0,0,0,10,7,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,7,3,3,3,0,2,1,0,0,3,5,5,0,0,4,0,0,0,0,0,0,1,1,0,0,0,6,3,3,1,2,1,2,0,0,1,0,1,6,1,2,1,0,3,0,0,1,2,1,0,1,1,0,3,2,0,1,2,0,1,0,1,4,4,3,1,0,2,0,1,1,2
Acanthostega,318,0,0,0,1,0,0,0,0,6,0,0,1,0,0,1,0,2,0,1,0,0,1,0,2,1,0,3,0,0,0,4,0,22,12,14,1,10,0,0,1,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,3,2,4,4,2,1,2,0,0,2,1,1,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,1,1,2,0,3,0,0,1,0,0
Platanus,311,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,2,0,0,0,0,1,1,0,0,1,1,1,1,3,4,8,1,2,3,12,1,2,3,1,0,3,4,0,0,1,0,1,0,0,0,0,0,1,0,3,2,0,1,7,1,2,4,1,2,0,0,0,0,0,0,2,2,0,0,3,2,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1
Favosites,308,0,2,1,2,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6,3,2,4,13,1,17,2,0,1,2,0,1,2,4,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,4,1,1,6,4,0,4,1,0,0,0,0,10,5,1,2,1,0,1,0,1,2,1,0,1,1,0,7,3,1,0,2,1,0,0,0,1,0,1,1,1,1,0,1,0,2
Nautilida,304,0,0,0,0,0,0,0,0,1,9,0,1,2,0,3,0,6,1,0,0,0,0,0,0,0,0,1,1,0,1,0,7,7,4,2,1,10,0,0,3,1,0,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,11,2,0,2,3,3,0,1,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,2,1,1
