username#discrim,current streak,max streak
_lita_#0,0,0
AD10S#3152,0,0
ramen.png#0,0,2
Rohan#8842,0,0
damniwishiwasswag#0,0,0
youll#1612,0,6
Deleted User 5c4acac4#4219,0,0
science_girlie#0,0,6
rachel_12#0,0,4
twopencecoin#0,0,1
Sipnach#7005,0,0
aarushi._.#0,0,19
Arcee#4545,0,0
ichthyoborbus#0,0,6
err0r05#0,0,0
.ramanujan#0,0,9
katherineke#0,0,0
Deleted User 2f901039#0409,0,0
B̴̂͝O̵̅ͅỎ̵͠P̸̍̑Y̴̓̽ ̴͗̽#1662,0,0
nivi.c#0,0,0
trashi279#6770,0,0
Raymond#4231,0,1
scotty5853#0,0,0
tangyrin#0,0,10
prernabharath#0,0,1
.bananasaurus.#0,0,0
ice_blue07#9250,0,12
Nithin#6902,0,0
icemellow#0,0,1
numba1parkerwongfan#0,0,0
soanpan#0,0,1
catherinebyrne#0,0,3
operationeggroll#0,0,1
polarbear3851#0,0,10
woxic_pt#0,0,22
Rix15#3557,0,2
kevinli7180#0,0,4
smruti#0,0,6
jokmammam#8799,0,2
athedarsh#0,0,0
ChinaEastern583#6771,0,0
jeffman888#0,0,2
_bellalala#0,0,1
!s3.amazonaws.com/̶m̶a̶l(ad)ware#1608,0,0
guyofguy#0,0,0
rampantterror66#0,0,1
drippypinkarmsleeve#5344,0,0
jorgnsn#0,0,1
karthik#0736,0,10
nayrie#0,0,0
Imperator#1664,0,0
igris7380#0,0,1
shreyase39#0,0,14
caffeinatedsquirrel#0,0,0
_apri_#0,0,4
turtle2525#0,0,4
citrusmelon#0,0,0
notthatgrape#0,0,0
phylly#0,0,0
babytaiyo#0,0,0
バカ#5836,0,1
.wabafet#0,0,5
ruby4red#0942,0,62
TheUltimateMeme#4095,0,0
fyrework#0,0,1
z_axolotl#0,0,6
fikkyd#0,0,2
beck#0814,0,2
jwei302#0,0,0
swarooop#8038,0,10
Narz#0202,0,0
Deleted User 87de483e#9583,0,0
anat1dae#0,0,0
bobatea8668#0,0,2
JKidding#8582,0,3
antiq_g#0,0,3
green_.apple#0,0,7
lcfiredog#0,0,2
angel <3#7208,0,3
lunchbox#8936,0,7
lordheavenly#0,0,0
aliceleleliu#0,0,3
davidiouss#2191,0,0
brain1757#0,0,0
BeanyBeanz#3343,0,0
breadomatic#0,0,0
duhdubnub#0,0,1
Deleted User 88e93be9#9991,0,1
merlyn#3524,0,9
someguy713#0,0,14
aptdon#0,0,0
netares#0,0,10
ezraft#0,0,0
naren_pr#1306,0,0
pderekdactyl#0,0,7
minorila#0,0,0
A.J.#3016,0,10
ella5102#4982,0,15
uyoai#0,0,26
Remzi#4432,0,0
Dan.San#6087,0,5
deoxyribonucleicacid#0,0,5
riceecat#0,0,6
.star14#0,0,0
BigDhruv1234321#1331,0,14
berrez#0,0,1
Wabby Crabby ツ#9089,0,0
claire#3325,0,0
Deleted User c38745a7#7481,0,1
karpothu#0,0,0
oompa_lumpa_juan#0,0,3
silverbreeze.#0,0,0
Ani#1019,0,0
kenxhvsty#0,0,54
ThatOneAsian#7197,0,1
aadrij#0,0,1
glucose#7088,0,0
strikerramses#0,0,0
Judd.tastic#5096,0,29
legendluhar#0,0,0
1_o_o_1#0,0,0
drewsargentiniangrandpa#0,0,1
sorinayaa#0,0,0
fiiivex#0,0,2
forkhl#0,0,0
ZAF#9221,0,0
anna_s12#0,0,0
jayboyaga123#8552,0,0
sadscias#0,0,0
ajoolpod#0,0,110
